price,beds,baths,garage,stories,house_type,lot_sqft,sqft,year_built,address,state,city,lat,lon,county
159900.0,4.0,2.0,1.0,,mobile,17424.0,1788.0,1973.0,90 E Main St,NY,Granville,43.405985,-73.251559,Washington
294900.0,3.0,2.0,2.0,2.0,single_family,74052.0,996.0,2011.0,16326 Ontario Shores Dr,NY,Sterling,43.404835,-76.635019,Cayuga
225000.0,3.0,2.0,1.0,,single_family,30056.0,1224.0,1973.0,38 Pine Cir,NY,Newfield,42.357008,-76.607137,Tompkins
149000.0,4.0,2.0,2.0,,single_family,223898.0,1608.0,1900.0,8 Gridleyville Rd,NY,Spencer,42.223019,-76.430742,Tioga
599999.0,4.0,2.0,,2.0,single_family,7307.0,1827.0,1858.0,59 Hamilton Ave,NY,Oyster Bay,40.874207,-73.531903,Nassau
299900.0,3.0,2.0,1.0,,single_family,8712.0,1589.0,1960.0,41 Bender Ln,NY,Bethlehem,42.615471,-73.815558,Albany
225000.0,5.0,2.0,2.0,2.0,single_family,21780.0,1178.0,1920.0,221 Route 3,NY,Saranac Lake,44.3185483,-74.1518318,Franklin
139900.0,3.0,2.0,1.0,1.0,single_family,8163.0,950.0,1966.0,112 Hunter St,NY,Jamestown,42.08761,-79.221273,Chautauqua
275000.0,6.0,2.0,,3.0,single_family,14375.0,1842.0,1903.0,238 McComb St,NY,Saranac Lake,44.329045,-74.134298,Franklin
449000.0,3.0,3.0,2.0,1.0,single_family,483516.0,2004.0,2003.0,2555 Bass Rd,NY,New Woodstock,42.845544,-75.864689,Madison
325000.0,3.0,2.0,2.0,1.0,single_family,43560.0,2108.0,1957.0,10 Green Valley Rd,NY,Pittsford,43.079074,-77.479357,Monroe
595000.0,6.0,4.0,1.0,3.0,single_family,6778.0,2045.0,2008.0,126 Chautauqua Escapes,NY,Mayville,,,Chautauqua
150000.0,2.0,1.0,1.0,1.0,single_family,5998.0,857.0,1951.0,22 Patton Rd,NY,Tonawanda,43.008052,-78.895348,Erie
335000.0,3.0,2.0,2.0,2.0,single_family,11326.0,1360.0,1926.0,44 Highland Ave,NY,Walden,41.564045,-74.182418,Orange
415000.0,3.0,3.0,1.0,2.0,single_family,136343.0,2496.0,1990.0,94 Gina Ln,NY,Bethel,,,Sullivan
199999.0,3.0,2.0,1.0,,single_family,4356.0,1396.0,1945.0,56 Everett Rd,NY,Albany,42.691223,-73.777635,Albany
575000.0,3.0,2.0,,,single_family,304920.0,1377.0,1974.0,748 Red Mills Rd,NY,Greenville,42.385899,-74.0442,Greene
134900.0,4.0,2.0,2.0,2.0,single_family,25051.0,2184.0,1900.0,164 Commercial St,NY,Gowanda,42.459449,-78.93111,Cattaraugus
307900.0,3.0,2.0,2.0,1.0,single_family,14431.0,1678.0,1992.0,3426 Van Wie Dr E,NY,Baldwinsville,43.183219,-76.281971,Onondaga
725000.0,3.0,2.0,2.0,,single_family,435600.0,2072.0,1890.0,524 Rice St,NY,Jewett,42.25026,-74.318834,Greene
198900.0,3.0,2.0,,2.0,single_family,3485.0,1326.0,1950.0,2947 Porter Rd,NY,Niagara Falls,43.106898,-79.025321,Niagara
879000.0,4.0,3.0,2.0,2.0,single_family,13939.0,2658.0,1959.0,40 Balmoral Cres,NY,White Plains,41.041428,-73.829491,Westchester
469000.0,3.0,3.0,2.0,2.0,single_family,26136.0,2740.0,1950.0,14 Alden Rd,NY,Poughkeepsie,41.679593,-73.918489,Dutchess
675000.0,4.0,3.0,2.0,2.0,single_family,43124.0,2128.0,1974.0,24 Seymour Dr,NY,New City,41.131366,-73.980732,Rockland
159900.0,3.0,2.0,1.0,2.0,multi_family,4373.0,1728.0,1947.0,2740 Grand Ave,NY,Niagara Falls,43.096379,-79.027829,Niagara
279900.0,3.0,3.0,,,single_family,22738.0,2062.0,1976.0,33 Greenvalley Dr,NY,Big Flats,42.144439,-76.944857,Chemung
130000.0,3.0,1.0,2.0,2.0,single_family,4129.0,1179.0,1910.0,57 Locust St,NY,Rochester,43.174117,-77.635551,Monroe
729000.0,3.0,3.0,,2.0,condos,19602.0,,1954.0,356 Oakleigh Ave Unit 24,NY,Baiting Hollow,40.967021,-72.752207,Suffolk
825000.0,4.0,3.0,1.0,3.0,single_family,5066.0,2500.0,2005.0,64 Lakeside Dr,NY,Yonkers,40.923729,-73.888862,Westchester
249900.0,2.0,2.0,,,condos,436.0,1029.0,1989.0,1182 Washington Grn,NY,New Windsor,41.465368,-74.055311,Orange
175000.0,4.0,2.0,,3.0,single_family,3402.0,1692.0,1900.0,85 Arnett Blvd,NY,Rochester,43.142114,-77.635352,Monroe
439000.0,2.0,3.0,1.0,2.0,coop,,,1985.0,1 Anchorage Way Apt 403,NY,Freeport,40.629765,-73.576493,Nassau
1200000.0,3.0,3.0,2.0,,single_family,10019.0,,1959.0,851 Park Ln,NY,North Woodmere,40.648314,-73.724342,Nassau
269990.0,1.0,2.0,,1.0,condos,1307.0,,1975.0,30 Birchwood Rd Unit 30,NY,Coram,40.86346,-73.011145,Suffolk
295000.0,2.0,2.0,,1.0,condos,20473.0,764.0,2006.0,2792 Sedgwick Ave Apt 3B,NY,Bronx,40.87187,-73.901901,Bronx
899900.0,5.0,3.0,2.0,3.0,single_family,12197.0,3113.0,1969.0,7 Viking Dr,NY,West Islip,40.686664,-73.285526,Suffolk
699900.0,4.0,3.0,2.0,,single_family,5227.0,,,10 Stimson Pl,NY,Huntington,40.822975,-73.442174,Suffolk
